,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
0,DOVE Men+Care Fresh & Clean 2in1 Shampoo+Conditioner  (340 ml),₹337,https://www.flipkart.com/dove-men-care-fresh-clean-2in1-shampoo-conditioner/p/itma0845a36a9bc4?pid=SMPGNP7SWTMHPMUZ&lid=LSTSMPGNP7SWTMHPMUZIYTFWZ&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WeS4Qv6TMwtUx1kLDNG6jyxFmq2Axfq5x1howMxE8dqUw%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/x/h/p/-original-imagnwuqehpszbzy.jpeg?q=70,"Scalp Cleansing Shampoo Ideal For: Men Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate, Sodium Chloride, Perfume, Carbomer, Sodium Hydroxide, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Menthol, Citric Acid, Caffeine, Mentha Piperita (Peppermint) Leaf Extract, Sodium Benzoate, Limonene, Linalool",No Description,"Applied For	Scalp Cleansing
Net Quantity	3","I got this product before 1 month.i think this is the best time to rate this shampoo. Now my hair fall has reduced by half. And the packaging was so perfect nothing leakage at all. Delivery boy also good. I recommend everyone to use this. Me n my sister using this shampoo. Mine is dry hair and her hair is oily. It worked for both of us. We r really happy. Thank you flipkart :- Smell is nice packaging is good and quantity is also good it is full and received in a very great price thank you Flipkart 💕 :- Product is safely and fast deliver.. I'm happy for Flipkart assured product..  Thank you,  keep going..",SURICYBCOMBazaar4.7
3,HEAD & SHOULDERS Smooth and Silky 2-in-1 Anti-Dandruff Shampoo + Conditioner for Softer Hair  (1 L),₹452,https://www.flipkart.com/head-shoulders-smooth-silky-2-in-1-anti-dandruff-shampoo-conditioner-softer-hair/p/itm6a35b9da58c6d?pid=SMPFHW86PHVFZVQR&lid=LSTSMPFHW86PHVFZVQRZDC01G&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=75a12d0f-38e9-499f-b03d-69206f5a690f.SMPFHW86PHVFZVQR.SEARCH&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/klscivk0/shampoo/c/5/c/650-smooth-and-silky-head-and-shoulders-original-imagytxz7uytruyc.jpeg?q=70,"Anti-dandruff, Hair Shine Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Menthol","For the first time in India, the Head and Shoulders, 2-in-1 range is specially formulated to have all the dandruff fighting power you expect, while combining the benefits of both�shampoo and conditioner in one bottle. It makes your hair upto 100% dandruff free and surprisingly smooth.","Applied For	Anti-dandruff, Hair Shine
Hair Type	All Hair Types
Composition	Menthol
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1","Packaging: Flipkart generally has a really good packaging system. However this packaging wasn't done right because the product was oozing all over. Quality issues: I have used this product before albeit long before, but this particular one is clearly adulterated. The shampoo is neither dense, nor creates any lather. The patent smell of this company product is very faint. I have ordered a one litre bottle!!!! Such a waste of money. Would like flipkart to look into the dealer they r getting th... :- This is an awesome shamp+conditioner . This helps in clean scalp i.e; anti dandruff and it gives shine and smoothness to the hair. Highly Recommended at this price. :- Product got in well condition without any leakage. My doubt has been cleared about the myth of half filled shampoo bottle and get less quantity of shampoo in bottle. So that's yours doubt also got cleared, I'm attaching pics first time and I'm writing a well defined review about any product. So guys there is no problem you can order it without any hesitation and Flipkart's delivery is awesome as always got product one day before last day of delivery. Thanks Flipkart 👍About product it's very...",Ezig4.8
4,HEAD & SHOULDERS Cool Menthol 2-in-1 Anti-Dandruff Shampoo + Conditioner for Women & Men  (1 L),₹580,https://www.flipkart.com/head-shoulders-cool-menthol-2-in-1-anti-dandruff-shampoo-conditioner-women-men/p/itme3ddd7f8ff016?pid=SMPFHW86EBXX8ZPK&lid=LSTSMPFHW86EBXX8ZPKJYHX89&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=75a12d0f-38e9-499f-b03d-69206f5a690f.SMPFHW86EBXX8ZPK.SEARCH&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/kmds4nk0/shampoo/9/d/c/0-650-madhav-star-head-shoulders-2-in-1-cool-menthol-anti-original-imagfaxzyegmkqyr.jpeg?q=70,Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Menthol,"For the first time in India, the Head and Shoulders, 2-in-1 range is specially formulated to give you the dandruff fighting power you expect along with the menthol freshness and make your scalp cool, fresh and dandruff free, while combining the benefits of both�shampoo and conditioner in one bottle. It makes your hair upto 100% dandruff free and surprisingly smooth.","Applied For	Anti-dandruff
Hair Type	All Hair Types
Composition	Menthol
Container Type	Dispenser
Ideal For	Men & Women
